Month,Dining,Transportation,Grocery,Online Shopping,Online Services,Housing,Everything else
2021-01,0,0,52,0,0,0,NaN
2021-02,0,0,28,150,0,0,NaN
2021-03,83,0,0,0,0,0,NaN
2021-04,112,0,0,0,0,0,NaN
2021-05,67,0,0,0,0,0,NaN
2021-06,129,0,0,0,0,0,NaN
2021-07,54,0,0,0,0,0,NaN
2021-08,98,0,0,0,0,0,NaN
2021-09,980,813,213,59,0,1171.25,NaN
2021-10,936.25,56,300,128,0,1171.25,NaN
2021-11,936.25,57,241,190,0,1171.25,NaN
2021-12,936.25,49,186,0,0,1171.25,NaN
2022-01,1010,68,286,0,0,1171.25,NaN
2022-02,1058,58,253,36,0,1171.25,NaN
2022-03,1016,54,194,0,0,1171.25,NaN
2022-04,1034,53,249,76,0,1171.25,NaN
2022-05,234,749,150,35,0,0,NaN
2022-06,420,10,59,0,0,0,NaN
2022-07,562,10,24,47,0,0,NaN
2022-08,537,768,35,0,0,0,NaN
2022-09,1048,6,128,150,0,1171.25,NaN
2022-10,1057,21,137,250,0,1171.25,NaN
2022-11,1049,0,112,33,0,1171.25,NaN
2022-12,1078,15,145,143,0,1171.25,NaN
2023-01,1064,10,119,25,0,1171.25,NaN
2023-02,1078,17,103,43,0,1171.25,NaN
2023-03,1071,13,133,0,0,1171.25,NaN
2023-04,1054,19,146,108,0,1171.25,NaN
2023-05,987,68,234,70,0,1556,NaN
2023-06,1000,43,276,39,0,1574,NaN
2023-07,985,59,195,107,0,1540,NaN
2023-08,1012,734,248,0,0,1584,NaN
2023-09,548,100,29,120,0,370,NaN
2023-10,572,100,68,0,0,384,NaN
2023-11,514,100,14,0,0,399,NaN
2023-12,536,792,48,0,30,400,NaN
